SKU,Parent SKU,UPC,tax:product_type,post_status,Product Title,Short Description,Description,tax:product_cat,availability,moq,MAP,regular_price,attribute:pa_outdoor-use,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,meta:attribute_pa_color,attribute:pa_application,attribute:pa_arms,attribute:pa_base-legs,attribute:pa_structure-material,attribute:pa_upholstery-material,Product Width,Product Depth,Product Height,Product Weight,attribute:pa_assembly,attribute:pa_warranty,attribute:pa_country-of-origin,attribute:pa_style,attribute:pa_care-instructions,attribute:pa_weight-capacity,tax:pwb-brand,Images
546.STOWERTU,,,simple,publish,"Silla TOWER-PP-TU, madera, polipropileno turquesa","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color turquesa -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 47,5 cms Fondo: 45 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,216 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,turquesa,,,,,,,,,47,45,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1836-large_default/silla-tower-pp-tu-madera-polipropileno-turquesa.jpg|https://www.gruposdm.com/1836-medium_default/silla-tower-pp-tu-madera-polipropileno-turquesa.jpg|https://www.gruposdm.com/2614-medium_default/silla-tower-pp-tu-madera-polipropileno-turquesa.jpg
546.STOWERGR,,,simple,publish,"Silla TOWER-PP-GR, madera, polipropileno gris","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color gris -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,AGOTADO - AGOSTO STOCK PREVISTO,4,14.6,,,gris,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1868-large_default/silla-tower-pp-gr-madera-polipropileno-gris.jpg|https://www.gruposdm.com/1868-medium_default/silla-tower-pp-gr-madera-polipropileno-gris.jpg|https://www.gruposdm.com/2615-medium_default/silla-tower-pp-gr-madera-polipropileno-gris.jpg
546.STOWERWTR,,,simple,publish,"Silla TOWER-WTR, madera, policarbonato transparente*","FICHA TÉCNICA: -Silla de diseño multiusos. -Producto no recomendable para establecimientos de hostelería y uso intensivo. -Asiento de carcasa de policarbonato transparente -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,26,,,transparente,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1888-large_default/silla-torreiffel-tr-madera-policarbonato-transparente.jpg|https://www.gruposdm.com/1888-medium_default/silla-torreiffel-tr-madera-policarbonato-transparente.jpg|https://www.gruposdm.com/2415-medium_default/silla-torreiffel-tr-madera-policarbonato-transparente.jpg
546.STOWERRO,,,simple,publish,"Silla TOWER-PP-RO, madera, polipropileno rojo","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color rojo -Base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,164 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,14.6,,,rojo,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/2017-large_default/silla-tower-pp-ro-madera-polipropileno-rojo.jpg|https://www.gruposdm.com/2017-medium_default/silla-tower-pp-ro-madera-polipropileno-rojo.jpg|https://www.gruposdm.com/2412-medium_default/silla-tower-pp-ro-madera-polipropileno-rojo.jpg|https://www.gruposdm.com/2616-medium_default/silla-tower-pp-ro-madera-polipropileno-rojo.jpg|https://www.gruposdm.com/2666-medium_default/silla-tower-pp-ro-madera-polipropileno-rojo.jpg
501.STORRPPAC,,,simple,publish,"Silla TORREIFFEL-PPAC, madera, polipropileno azul celeste*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color azul celeste -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 50,1 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,12.75,,,azul,,,,,,,,,46,50,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1856-large_default/silla-torreiffel-ppac-madera-polipropileno-azul-celeste.jpg|https://www.gruposdm.com/1856-medium_default/silla-torreiffel-ppac-madera-polipropileno-azul-celeste.jpg|https://www.gruposdm.com/2414-medium_default/silla-torreiffel-ppac-madera-polipropileno-azul-celeste.jpg
501.STORRPPVP,,,simple,publish,"Silla TORREIFFEL-PPVP, madera, polipropileno verde petróleo*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color verde petróleo -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 50,1 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,12.75,,,verde,,,,,,,,,46,50,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1855-large_default/silla-torreiffel-ppvp-madera-polipropileno-verde-petroleo.jpg
501.STORRPPRO,,,simple,publish,"Silla TORREIFFEL-PPRO, madera, polipropileno rojo*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color rojo -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 50,1 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,12.75,,,rojo,,,,,,,,,46,50,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1857-large_default/silla-torreiffel-ppro-madera-polipropileno-rojo.jpg
501.STORRPPVE,,,simple,publish,"Silla TORREIFFEL-PPVE, madera, polipropileno verde*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de polipropileno de color verde -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 50,1 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,12.75,,,verde,,,,,,,,,46,50,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1858-large_default/silla-torreiffel-ppve-madera-polipropileno-verde.jpg|https://www.gruposdm.com/1858-medium_default/silla-torreiffel-ppve-madera-polipropileno-verde.jpg|https://www.gruposdm.com/2413-medium_default/silla-torreiffel-ppve-madera-polipropileno-verde.jpg
501.STORWROT,,,simple,publish,"Silla TORREIFFEL-WROT, madera, policarbonato rojo transparente*","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de policarbonato rojo transparente -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46,5 cms Fondo: 50,1 cms Altura: 81 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,22.1,,,rojo,,,,,,,,,46,50,81,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1869-large_default/silla-torreiffel-wrot-madera-policarbonato-rojo-transparente.jpg
501.SOTORRBL,,,simple,publish,"Sillón TORREIFFEL-BL, madera, polipropileno blanco*","FICHA TÉCNICA: -Sillón de diseño multiusos. -Asiento de carcasa de polipropileno de color blanco. -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente. -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 67 cms Fondo: 57,5 cms Altura: 82,5 cms. EMBALAJE: Plástico y cartón. UNIDADES: 5 VOLUMEN: 0,35 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,5,20.4,,,blanco,,,,,,,,,67,57,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1860-large_default/sillon-torreiffel-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/1860-medium_default/sillon-torreiffel-bl-madera-polipropileno-blanco.jpg|https://www.gruposdm.com/2672-medium_default/sillon-torreiffel-bl-madera-polipropileno-blanco.jpg
501.SOTORRNE,,,simple,publish,"Sillón TORREIFFEL-NE, madera, polipropileno negro*","FICHA TÉCNICA: -Sillón de diseño multiusos. -Asiento de carcasa de polipropileno de color negro. -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente. -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 67 cms Fondo: 57,5 cms Altura: 82,5 cms. EMBALAJE: Plástico y cartón. UNIDADES: 5 VOLUMEN: 0,35 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,5,20.4,,,negro,,,,,,,,,67,57,82,,Si,2 years,China,,,,,https://www.gruposdm.com/1862-large_default/sillon-torreiffel-ne-madera-polipropileno-negro.jpg
501.SOTORRRO,,,simple,publish,"Sillón TORREIFFEL-RO, madera, polipropileno rojo*","FICHA TÉCNICA: -Sillón de diseño multiusos. -Asiento de carcasa de polipropileno de color rojo. -Nueva base de 4 patas de madera de haya - cónicas - con varillas metálicas de unión - transversales y horizontales.- Más resistente. -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 67 cms Fondo: 57,5 cms Altura: 82,5 cms. EMBALAJE: Plástico y cartón. UNIDADES: 5 VOLUMEN: 0,35 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,5,20.4,,,rojo,,,,,,,,,67,57,82,,Si,2 years,China,,,,,https://www.gruposdm.com/1863-large_default/sillon-torreiffel-ro-madera-polipropileno-rojo.jpg
564.SLUISATR,,,simple,publish,"Silla LUISA-TR, madera, policarbonato transparente","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de policarbonato transparente. -Base de madera maciza de haya con varillas metálicas de unión -Otros colores y diseños disponibles bajo pedido DIMENSIONES : Ancho: 44 cms Fondo: 48 cms Altura: 79 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,185 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,19,,,transparente,,,,,,,,,44,48,79,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1337-large_default/silla-luisa-tr-madera-policarbonato-transparente.jpg
564.SSTARNE,,,simple,publish,"Silla STAR-NE, madera, ABS negra","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de abs de color negro. -Base de 4 patas de madera de haya cónicas con varillas metálicas de unión con acabado de color blanco -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,15,,,negro,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1186-large_default/silla-star-ne-madera-abs-negra.jpg|https://www.gruposdm.com/1186-medium_default/silla-star-ne-madera-abs-negra.jpg|https://www.gruposdm.com/2549-medium_default/silla-star-ne-madera-abs-negra.jpg
564.SSTARCA,,,simple,publish,"Silla STAR-CA, madera, ABS color café light","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de ABS de color café light -Base de 4 patas de madera de haya cónicas con varillas metálicas de unión con acabado de color blanco -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,15,,,café,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1187-large_default/silla-star-ca-madera-abs-color-cafe-light.jpg|https://www.gruposdm.com/1187-medium_default/silla-star-ca-madera-abs-color-cafe-light.jpg|https://www.gruposdm.com/2548-medium_default/silla-star-ca-madera-abs-color-cafe-light.jpg
564.SSTARRO,,,simple,publish,"Silla STAR-RO, madera, ABS rojo","FICHA TÉCNICA: -Silla de diseño multiusos. -Asiento de carcasa de abs de color rojo -Base de 4 patas de madera de haya cónicas con varillas metálicas de unión con acabado de color blanco -Otros colores disponibles -Sobre pedido podemos suministrar en otros colores DIMENSIONES : Ancho: 46 cms Fondo: 48 cms Altura: 82 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,2 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,15,,,rojo,,,,,,,,,46,48,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/1188-large_default/silla-star-ro-madera-abs-rojo.jpg|https://www.gruposdm.com/1188-medium_default/silla-star-ro-madera-abs-rojo.jpg|https://www.gruposdm.com/2550-medium_default/silla-star-ro-madera-abs-rojo.jpg
501.STOR4WBB,,,simple,publish,"Silla TORRE-4P-WBB, madera, polipropileno y cojín blanco*","FICHA TÉCNICA: -Silla de diseño multiusos. -Carcasa de polipropileno de color blanco. -Asiento con cojín de similpiel blanca -Base de 4 patas de madera maciza de haya -Otros colores disponibles DIMENSIONES : Ancho:48,5 cms Fondo: 42 cms Altura: 82,5 cms. EMBALAJE: Plástico y cartón. UNIDADES: 4 VOLUMEN: 0,17 m3 ",,Sillas de madera y plástico,PRECIO destacado CON STOCK,4,25,,,blanco,,,,,,,,,"48,5 ",42,82,,Si,2 years,China,,,,SDM,https://www.gruposdm.com/884-large_default/silla-torre-4p-wbb-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/884-medium_default/silla-torre-4p-wbb-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2436-medium_default/silla-torre-4p-wbb-madera-polipropileno-y-cojin-blanco.jpg|https://www.gruposdm.com/2584-medium_default/silla-torre-4p-wbb-madera-polipropileno-y-cojin-blanco.jpg
